#group,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,double,double,double
#default,_result,,,,,
,result,table,_time,X,Y,Z
,,0,2026-08-22T20:20:41.629334181Z,-0.034,0.005,0.988
,,0,2026-08-22T20:20:42.633596204Z,-0.034,0.004,0.989
,,0,2026-08-22T20:20:43.638105533Z,-0.034,0.004,0.99
,,0,2026-08-22T20:20:44.643971883Z,-0.033,0.005,0.986
,,0,2026-08-22T20:20:45.648687535Z,-0.033,0.005,0.99
,,0,2026-08-22T20:20:46.653701807Z,-0.033,0.005,0.987
,,0,2026-08-22T20:20:47.659366264Z,-0.033,0.004,0.988
,,0,2026-08-22T20:20:48.663851598Z,-0.032,0.005,0.988
,,0,2026-08-22T20:20:49.668606626Z,-0.033,0.004,0.987
,,0,2026-08-22T20:20:50.672644131Z,-0.032,0.005,0.99
,,0,2026-08-22T20:20:51.68094381Z,-0.033,0.005,0.989
,,0,2026-08-22T20:20:52.684330566Z,-0.033,0.005,0.987
,,0,2026-08-22T20:20:53.683686524Z,-0.034,0.004,0.988
,,0,2026-08-22T20:20:54.690733668Z,-0.033,0.004,0.986
,,0,2026-08-22T20:20:55.69045239Z,-0.032,0.005,0.989
,,0,2026-08-22T20:20:56.693614415Z,-0.034,0.003,0.988
,,0,2026-08-22T20:20:57.696002956Z,-0.035,0.004,0.985
,,0,2026-08-22T20:20:58.698323902Z,-0.034,0.003,0.986
,,0,2026-08-22T20:20:59.700490164Z,-0.034,0.004,0.988
,,0,2026-08-22T20:21:00.703387979Z,-0.034,0.004,0.986
,,0,2026-08-22T20:21:01.705805302Z,-0.032,0.005,0.988
,,0,2026-08-22T20:21:02.714150834Z,-0.032,0.007,0.988
,,0,2026-08-22T20:21:03.717839546Z,-0.032,0.005,0.988
,,0,2026-08-22T20:21:04.721338944Z,-0.033,0.005,0.987
,,0,2026-08-22T20:21:05.727703531Z,-0.035,0.003,0.988
,,0,2026-08-22T20:21:06.727227923Z,-0.032,0.004,0.989
,,0,2026-08-22T20:21:07.731426331Z,-0.034,0.004,0.987
,,0,2026-08-22T20:21:08.735356428Z,-0.034,0.005,0.987
,,0,2026-08-22T20:21:09.738194805Z,-0.034,0.004,0.989
,,0,2026-08-22T20:21:10.740308418Z,-0.033,0.004,0.988
,,0,2026-08-22T20:21:11.742743613Z,-0.033,0.004,0.986
,,0,2026-08-22T20:21:12.751140331Z,-0.035,0.004,0.988
,,0,2026-08-22T20:21:13.759964702Z,-0.035,0.002,0.986
,,0,2026-08-22T20:21:14.761136841Z,-0.034,0.004,0.985
,,0,2026-08-22T20:21:15.760927546Z,-0.034,0.004,0.987
,,0,2026-08-22T20:21:16.763845303Z,-0.034,0.004,0.99
,,0,2026-08-22T20:21:17.770081571Z,-0.033,0.004,0.987
,,0,2026-08-22T20:21:18.775015385Z,-0.033,0.006,0.988
,,0,2026-08-22T20:21:19.779508649Z,-0.035,0.003,0.989
,,0,2026-08-22T20:21:20.78230569Z,-0.034,0.003,0.989
,,0,2026-08-22T20:21:21.781647122Z,-0.033,0.005,0.986
,,0,2026-08-22T20:21:22.784040386Z,-0.033,0.005,0.987
