#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,last,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2026-08-19T15:34:56.375636787Z,2026-08-19T16:34:56.375636787Z,2026-08-19T15:50:42Z,-0.13,X,sensor_data
,,0,2026-08-19T15:34:56.375636787Z,2026-08-19T16:34:56.375636787Z,2026-08-19T15:50:43Z,-0.127,X,sensor_data
,,0,2026-08-19T15:34:56.375636787Z,2026-08-19T16:34:56.375636787Z,2026-08-19T15:50:44Z,-0.129,X,sensor_data
,,0,2026-08-19T15:34:56.375636787Z,2026-08-19T16:34:56.375636787Z,2026-08-19T15:50:45Z,-0.129,X,sensor_data
,,0,2026-08-19T15:34:56.375636787Z,2026-08-19T16:34:56.375636787Z,2026-08-19T15:50:46Z,-0.129,X,sensor_data
,,0,2026-08-19T15:34:56.375636787Z,2026-08-19T16:34:56.375636787Z,2026-08-19T15:50:47Z,-0.128,X,sensor_data
,,0,2026-08-19T15:34:56.375636787Z,2026-08-19T16:34:56.375636787Z,2026-08-19T15:50:48Z,-0.129,X,sensor_data
,,0,2026-08-19T15:34:56.375636787Z,2026-08-19T16:34:56.375636787Z,2026-08-19T15:50:49Z,-0.129,X,sensor_data
,,0,2026-08-19T15:34:56.375636787Z,2026-08-19T16:34:56.375636787Z,2026-08-19T15:50:50Z,-0.128,X,sensor_data
,,0,2026-08-19T15:34:56.375636787Z,2026-08-19T16:34:56.375636787Z,2026-08-19T15:50:51Z,-0.128,X,sensor_data
,,0,2026-08-19T15:34:56.375636787Z,2026-08-19T16:34:56.375636787Z,2026-08-19T15:50:52Z,-0.13,X,sensor_data
,,0,2026-08-19T15:34:56.375636787Z,2026-08-19T16:34:56.375636787Z,2026-08-19T15:50:53Z,-0.129,X,sensor_data
,,0,2026-08-19T15:34:56.375636787Z,2026-08-19T16:34:56.375636787Z,2026-08-19T15:50:54Z,-0.127,X,sensor_data
,,0,2026-08-19T15:34:56.375636787Z,2026-08-19T16:34:56.375636787Z,2026-08-19T15:50:55Z,-0.129,X,sensor_data
,,0,2026-08-19T15:34:56.375636787Z,2026-08-19T16:34:56.375636787Z,2026-08-19T15:50:56Z,-0.129,X,sensor_data
,,0,2026-08-19T15:34:56.375636787Z,2026-08-19T16:34:56.375636787Z,2026-08-19T15:50:57Z,-0.129,X,sensor_data
,,0,2026-08-19T15:34:56.375636787Z,2026-08-19T16:34:56.375636787Z,2026-08-19T15:50:58Z,-0.129,X,sensor_data
,,0,2026-08-19T15:34:56.375636787Z,2026-08-19T16:34:56.375636787Z,2026-08-19T15:50:59Z,-0.128,X,sensor_data
,,0,2026-08-19T15:34:56.375636787Z,2026-08-19T16:34:56.375636787Z,2026-08-19T15:51:00Z,-0.129,X,sensor_data
,,0,2026-08-19T15:34:56.375636787Z,2026-08-19T16:34:56.375636787Z,2026-08-19T15:51:01Z,-0.128,X,sensor_data
,,0,2026-08-19T15:34:56.375636787Z,2026-08-19T16:34:56.375636787Z,2026-08-19T15:51:02Z,-0.129,X,sensor_data
,,0,2026-08-19T15:34:56.375636787Z,2026-08-19T16:34:56.375636787Z,2026-08-19T15:51:03Z,-0.128,X,sensor_data
,,0,2026-08-19T15:34:56.375636787Z,2026-08-19T16:34:56.375636787Z,2026-08-19T15:51:04Z,-0.129,X,sensor_data
