#group,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,double,double,double
#default,_result,,,,,
,result,table,_time,X,Y,Z
,,0,2026-08-22T20:31:01.513339532Z,0.012,0.044,0.976
,,0,2026-08-22T20:31:02.518415023Z,-0.017,0.037,0.986
,,0,2026-08-22T20:31:03.525534408Z,0.003,0.044,0.973
,,0,2026-08-22T20:31:04.529176453Z,-0.016,0.034,0.985
,,0,2026-08-22T20:31:05.532967556Z,-0.016,0.037,0.989
,,0,2026-08-22T20:31:06.537769904Z,-0.02,0.04,0.987
,,0,2026-08-22T20:31:07.542940417Z,-0.02,0.05,0.969
,,0,2026-08-22T20:31:08.547106675Z,-0.016,0.037,0.985
,,0,2026-08-22T20:31:09.554460768Z,-0.017,0.037,0.987
,,0,2026-08-22T20:31:10.556645331Z,-0.018,0.037,0.986
,,0,2026-08-22T20:31:11.564648829Z,-0.015,0.036,0.985
,,0,2026-08-22T20:31:12.569608536Z,-0.015,0.036,0.985
,,0,2026-08-22T20:31:13.573439156Z,-0.014,0.036,0.987
,,0,2026-08-22T20:31:14.581213524Z,-0.029,0.051,0.974
,,0,2026-08-22T20:31:15.585058635Z,-0.015,0.035,0.988
,,0,2026-08-22T20:31:16.588674032Z,-0.036,0.024,0.995
,,0,2026-08-22T20:31:17.593293657Z,-0.031,0.026,0.996
,,0,2026-08-22T20:31:18.598381888Z,-0.042,0.04,0.983
,,0,2026-08-22T20:31:19.604556957Z,-0.015,0.036,0.987
,,0,2026-08-22T20:31:20.608789009Z,-0.025,0.053,0.97
,,0,2026-08-22T20:31:21.61269535Z,-0.02,0.037,0.986
,,0,2026-08-22T20:31:22.61847392Z,-0.015,0.035,0.986
,,0,2026-08-22T20:31:23.622608784Z,-0.016,0.037,0.987
,,0,2026-08-22T20:31:24.623920482Z,-0.016,0.039,0.986
,,0,2026-08-22T20:31:25.637903084Z,-0.016,0.038,0.986
,,0,2026-08-22T20:31:26.633451969Z,-0.018,0.036,0.987
,,0,2026-08-22T20:31:27.64228234Z,-0.017,0.037,0.985
